"","","","Proc. R. Soc. Edinb., Sect. A","user-choice","|","Proc. Roy. Soc. Edinburgh Sect. A"
"","","","Commun. Pure Appl. Math.","user-choice","|","Comm. Pure Appl. Math."
"","","","Ann. Sc. Norm. Super. Pisa Cl. Sci.","user-choice","|","Ann. Scuola Norm. Sup. Pisa Cl. Sci."
"","","","Compos. Math.","user-choice","|","Compositio Mathematica"
"","","","Commun. Pure Appl. Math.","user-choice","|","Comm. Pure Appl. Math."
"","","","Differ. Equ.","user-choice","|","Differential Equations"
"","","","Ann. Inst. H. Poincare Anal. Non Lineaire","user-choice","|","Ann. Inst. H. Poincar\'{e} Anal. Non Lin\'{e}aire"
"","","","Ann. Inst. H. Poincar{\'e} Anal. Non Lin{\'e}aire","user-choice","|","Ann. Inst. H. Poincar\'{e} Anal. Non Lin\'{e}aire"
"","","","Math. Z.","user-choice","|","Math.~Z."
"","","","Math. Inequal. Appl.","user-choice","|","Math. Ineq. Appl."
"","","","Proc. Roy. Soc. Edinburgh Sect. A","user-choice","|","Proc. R. Soc. Edinb., Sect. A"
